File,No,schoolType,school,ageGroup,type,year,sex,value,number,rate
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,26,男,46,46,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,26,女,9,9,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,26,合計,55,55,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,26,男,6,6,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,26,女,0,0,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,26,合計,6,6,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,26,男,13%,,0.13
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,26,女,0%,,0
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,25,男,44,44,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,25,女,12,12,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,受験者,25,合計,56,56,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,25,男,5,5,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,25,女,2,2,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格者,25,合計,7,7,
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,25,男,11%,,0.11
MedSchool.csv,1,国立,北海道大学,うち22歳以上,合格率,25,女,17%,,0.17
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,30,男,514,514,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,30,女,255,255,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,30,合計,769,769,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,30,男,73,73,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,30,女,34,34,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,30,合計,107,107,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,30,男,14%,,0.14
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,30,女,13%,,0.13
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,29,男,495,495,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,29,女,208,208,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,29,合計,703,703,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,29,男,71,71,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,29,女,41,41,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,29,合計,112,112,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,29,男,14%,,0.14
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,29,女,20%,,0.2
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,28,男,422,422,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,28,女,244,244,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,28,合計,666,666,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,28,男,71,71,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,28,女,45,45,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,28,合計,116,116,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,28,男,17%,,0.17
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,28,女,18%,,0.18
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,27,男,452,452,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,27,女,230,230,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,27,合計,682,682,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,27,男,68,68,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,27,女,45,45,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,27,合計,113,113,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,27,男,15%,,0.15
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,27,女,20%,,0.2
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,26,男,503,503,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,26,女,255,255,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,26,合計,758,758,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,26,男,80,80,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,26,女,35,35,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,26,合計,115,115,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,26,男,16%,,0.16
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,26,女,14%,,0.14
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,25,男,503,503,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,25,女,257,257,
MedSchool.csv,2,国立,旭川医科大学,合計,受験者,25,合計,760,760,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,25,男,75,75,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,25,女,39,39,
MedSchool.csv,2,国立,旭川医科大学,合計,合格者,25,合計,114,114,
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,25,男,15%,,0.15
MedSchool.csv,2,国立,旭川医科大学,合計,合格率,25,女,15%,,0.15
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,受験者,30,男,234,234,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,受験者,30,女,135,135,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,受験者,30,合計,369,369,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,合格者,30,男,29,29,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,合格者,30,女,15,15,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,合格者,30,合計,44,44,
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,合格率,30,男,12%,,0.12
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,合格率,30,女,11%,,0.11
MedSchool.csv,2,国立,旭川医科大学,うち18歳以下,受験者,29,男,213,213,
